candidate,count,final,score
自己,143,1932.9196791028517,13.516920832887074
他们,232,1750.3377908189718,7.544559443185223
琼恩,114,1457.9565193531246,12.789092275027409
布兰,108,1174.3169169361688,10.873304786446008
什么,91,1103.058366057086,12.121520506121824
史塔克,80,1012.0219357668151,12.650274197085189
知道,94,997.545888033248,10.612190298226043
已经,80,976.2734495477698,12.203418119347123
劳勃,66,920.3280713312615,13.944364717140326
莉亚,93,908.1909598436237,9.765494191866921
奈德,70,868.3857473558505,12.40551067651215
兰尼斯特,75,864.412325738906,11.525497676518746
国王,88,849.3542546789772,9.651752894079287
凯特琳,69,835.1554491442297,12.103702161510576
爵士,84,806.2598975006861,9.598332113103405
艾莉亚,71,800.8731785586928,11.27990392336187
珊莎,62,793.4786596302604,12.798042897262263
丹妮,55,736.2913914207786,13.38711620765052
尼斯,82,718.467386529036,8.761797396695561
我们,117,715.5516295524152,6.115825893610387
父亲,57,708.1210497546416,12.42317631148494
临冬城,55,688.2287449902392,12.51324990891344
罗柏,48,643.0102208985103,13.396046268718964
东西,51,631.8186555025464,12.388601088285224
兰尼斯,76,631.6904544699016,8.311716506182917
一个,108,622.9675611804965,5.768218159078672
伊利里欧,43,557.1792970017165,12.957658069807358
时候,53,530.5469573055129,10.010319949160621
世界,44,512.4534244077985,11.646668736540875
家族,57,509.00965194992506,8.929993893858335
斯特,79,485.11129178771466,6.140649263135629
没有,78,482.96405359214134,6.191846840924889
告诉,36,475.4906573025802,13.20807381396056
提利昂,36,472.4119669539648,13.122554637610133
孩子,65,469.2358184862513,7.219012592096173
卡奥,35,447.4743775568328,12.784982215909508
可以,57,443.78687267486737,7.785734608331007
眼睛,37,437.1197797706178,11.81404810190859
哥哥,46,435.1927578256169,9.460712126643847
多斯拉克,37,425.5395898966702,11.501069997207303
里欧,51,409.9027741048431,8.037309296173394
坦格利安,31,404.17862205873047,13.03802006641066
乔佛里,39,394.22407976361836,10.108309737528677
觉得,47,392.91152930600686,8.359819772468231
声音,41,381.3645649839517,9.30157475570614
的时候,33,378.0769557683312,11.456877447525187
这些,48,376.4286878305958,7.842264329804078
私生子,34,365.51289371851095,10.750379227015028
鲁温,33,364.2719166200558,11.038542927880478
清楚,27,341.09640093939765,12.633200034792505
的声音,28,337.4933707829557,12.053334670819847
城堡,38,336.96100740712353,8.867394931766409
师傅,27,334.42444171269847,12.386090433803647
希望,24,331.2102958408137,13.800428993367237
卓戈,27,328.4021701168325,12.163043337660463
是个,63,317.8005487830856,5.044453155287074
守夜人,31,314.742729060861,10.152991260027774
突然,28,313.64859781476054,11.201735636241448
冰原狼,26,313.27507404482645,12.049041309416403
害怕,25,311.0911721041036,12.443646884164142
似乎,25,307.93480979855525,12.31739239194221
私生,35,292.802901548894,8.365797187111257
其他,47,292.4464650909841,6.222265214701789
虽然,28,287.23568567817244,10.258417345649015
找到,36,277.6701886691245,7.71306079636457
母亲,27,277.58816541214617,10.281043163412821
男孩,28,267.5648249491288,9.55588660532603
卓戈卡奥,21,266.4001876157831,12.685723219799197
公爵,28,265.29400098383155,9.474785749422555
赖伦铎尔,23,263.9647850738052,11.476729785817618
威尔,27,259.8306292707577,9.623356639657692
罗德利克,28,258.1013940899108,9.217906931782528
需要,22,255.07123316541453,11.594146962064297
什麽,24,253.49624784202018,10.562343660084174
鲁温师傅,19,251.56571462724946,13.240300769855235
利克爵士,28,251.54046655735198,8.983588091334
现在,47,251.40682169251212,5.349081312606641
发现,34,251.00946274515235,7.382631257210363
喜欢,20,250.8303137054528,12.541515685272639
起来,62,250.10007608033027,4.033872194844037
詹姆,16,248.68317683567295,15.54269855222956
怎么,23,248.464093564783,10.802786676729696
武器,21,247.38349153223373,11.780166263439702
妹妹,26,244.7570999368183,9.41373461295455
总督,20,244.08468019297374,12.204234009648687
拉克,40,242.17412755753617,6.054353188938404
的地方,26,233.8379567409354,8.993767566959054
任何,22,226.51330050567196,10.29605911389418
娜梅莉亚,18,225.37720366083718,12.520955758935399
颤抖,16,224.65562832597743,14.04097677037359
骑士,28,223.87118004806345,7.995399287430837
提利,37,223.16451404617538,6.031473352599335
因为,30,222.41476208049673,7.413825402683225
恐惧,18,219.20445521385292,12.178025289658496
韦赛里斯,19,215.51386688071062,11.34283509898477
充满,17,212.25923058653075,12.485837093325339
小狼,32,211.62606730952075,6.613314603422523
名字,22,211.19112239497426,9.59959647249883
的世界,19,210.48619194203965,11.078220628528403
仿佛,18,208.26152464121907,11.570084702289948
伸手,21,207.88546505462995,9.899307859744283
冰原,29,207.04931935555928,7.139631701915837
守夜,32,207.04710963310237,6.470222176034449
一定,35,206.687442701274,5.905355505750686
站在,26,206.29781317353715,7.934531275905275
坐在,30,204.96133309756925,6.832044436585642
根本,23,202.9344884895156,8.823238629978938
茉丹修女,17,202.46688879373173,11.909816987866572
这么,30,201.61091690700908,6.720363896900303
伊利,44,200.49526189798678,4.556710497681518
森林,17,198.53636139612544,11.678609493889732
必须,15,195.77166677372418,13.051444451581611
叔叔,19,194.23412758412377,10.22284882021704
修女,23,193.23667608564656,8.401594612419416
公主,19,192.25387988081604,10.118625256885055
里斯,43,191.3180170668517,4.449256210857016
匕首,14,188.9121278506351,13.493723417902507
一样,37,187.67260625503823,5.07223260148752
感觉,23,187.44114118752864,8.149614834240376
最后,32,186.2397933409685,5.819993541905266
立刻,17,183.36594089486985,10.786231817345286
应该,18,182.87821911966688,10.159901062203716
几乎,18,182.33767988192662,10.129871104551478
丈夫,14,182.19300593867578,13.013786138476842
守卫,19,181.28799486135838,9.541473413755705
三叉戟河,13,180.40117073442542,13.87701313341734
究竟,15,180.38494666894607,12.025663111263071
乌鸦,13,180.36243778256517,13.874033675581936
